120,IL_WOMEN_PTASCOACH_MALE,Num,8,,,Total # Women's Assist. Coach/Male/Part-Time,,StaffAndSalaries,,,women,,,,assistant,,PartTime
121,IL_WOMEN_FTACUNEMP_MALE,Num,8,,,Total # Women's Assist. Coach/Male/FTEmp,,StaffAndSalaries,,,women,,,,assistant,FullTime,
122,IL_WOMEN_PTACUNEMP_MALE,Num,8,,,Total # Women's Assist. Coach/Male/PTEmp,,StaffAndSalaries,,,women,,,,assistant,,PartTime
123,IL_WOMEN_FTASTCOACH_FEM,Num,8,,,Total # Women's Assist. Coach/Female/Full-Time,,StaffAndSalaries,,,women,,,,assistant,FullTime,
124,IL_WOMEN_PTASTCOACH_FEM,Num,8,,,Total # Women's Assist. Coach/Female/Part-Time,,StaffAndSalaries,,,women,,,,assistant,,PartTime
125,IL_WOMN_FTACUNIVEMP_FEM,Num,8,,,Total # Women's Assist. Coach/Female/FTEmp,,StaffAndSalaries,,,women,,,,assistant,FullTime,
126,IL_WOMN_PTACUNIVEMP_FEM,Num,8,,,Total # Women's Assist. Coach Female/PTEmp,,StaffAndSalaries,,,women,,,,assistant,,PartTime
127,IL_WOMEN_TOTAL_ASTCOACH,Num,8,,,Total Number of Total Assist. Coaches in Women's Team,,StaffAndSalaries,,,women,,,,assistant,,
128,IL_COED_FTASCOACH_MALE,Num,8,,,Total # Coed Assist. Coach/Male/Full-Time,,StaffAndSalaries,,,,coed,,,assistant,FullTime,
129,IL_COED_PTASCOACH_MALE,Num,8,,,Total # Coed Assist. Coach/Male/Part-Time,,StaffAndSalaries,,,,coed,,,assistant,,PartTime
130,IL_COED_FTACUNEMP_MALE,Num,8,,,Total # Coed Assist. Coach/Male/FTEmp,,StaffAndSalaries,,,,coed,,,assistant,FullTime,
131,IL_COED_PTACUNEMP_MALE,Num,8,,,Total # Coed Assist. Coach/Male/PTEmp,,StaffAndSalaries,,,,coed,,,assistant,,PartTime
132,IL_COED_FTASTCOACH_FEM,Num,8,,,Total # Coed Assist. Coach/Female/Full-Time,,StaffAndSalaries,,,,coed,,,assistant,FullTime,
133,IL_COED_PTASTCOACH_FEM,Num,8,,,Total # Coed Assist. Coach/Female/Part-Time,,StaffAndSalaries,,,,coed,,,assistant,,PartTime
134,IL_COED_FTACUNIVEMP_FEM,Num,8,,,Total # Coed Assist. Coach/Female/FTEmp,,StaffAndSalaries,,,,coed,,,assistant,FullTime,
135,IL_COED_PTACUNIVEMP_FEM,Num,8,,,Total # Coed Assist. Coach/Female/PTEmp,,StaffAndSalaries,,,,coed,,,assistant,,PartTime
136,IL_COED_TOTAL_ASTCOACH,Num,8,,,Total # of Total Assist. Coaches in Coed Team,,StaffAndSalaries,,,,coed,,,assistant,,
137,IL_SUM_FTASCOACH_MALE,Num,8,,,Total # Assist. Coach/Men/Women/Coed/Male/Full-Time,,StaffAndSalaries,,,,,total,,assistant,FullTime,
